VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2010-09-23 23:46:50,2010-09-24 00:00:50,N,1.0,146,264,1.0,0.0,3.0,0.0,0.5,0.0,0.0,,0.3,3.8,1.0,1.0,
2,2010-09-23 00:16:50,2010-09-23 01:00:50,N,1.0,166,132,1.0,20.84,58.0,0.0,0.5,0.0,0.0,,0.3,58.8,1.0,1.0,
2,2009-01-01 01:22:06,2009-01-01 01:28:28,N,1.0,227,228,1.0,1.13,6.0,0.5,0.5,2.19,0.0,,0.3,9.49,1.0,1.0,
2,2019-05-10 10:37:11,2019-05-10 18:12:20,N,1.0,193,193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,
2,2010-09-23 01:01:28,2010-09-23 10:54:45,N,1.0,10,205,1.0,1.16,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,
2,2010-09-23 00:04:40,2010-09-23 05:05:39,N,1.0,179,170,1.0,4.49,15.0,0.5,0.5,0.0,0.0,,0.3,16.3,2.0,1.0,
2,2009-01-01 00:34:56,2009-01-01 00:41:08,N,1.0,119,119,1.0,0.13,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,2.0,1.0,
2,2010-09-23 08:52:28,2010-09-23 09:27:28,N,4.0,166,1,1.0,25.52,113.5,0.0,0.5,25.36,12.5,,0.3,152.16,1.0,1.0,
2,2010-09-23 23:48:55,2010-09-24 00:01:55,N,1.0,152,42,1.0,0.83,8.0,1.0,0.5,1.96,0.0,,0.3,11.76,1.0,1.0,
2,2008-12-31 23:04:27,2008-12-31 23:12:38,N,1.0,193,193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,1.0,
2,2010-09-23 00:01:44,2010-09-23 00:03:23,N,1.0,193,145,1.0,0.55,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,
2,2010-09-23 00:58:44,2010-09-23 01:01:54,N,2.0,10,10,1.0,0.08,52.0,0.0,0.5,0.0,0.0,,0.3,52.8,1.0,1.0,
2,2010-09-23 00:01:47,2010-09-23 17:48:11,N,1.0,244,158,1.0,9.4,29.0,1.0,0.5,0.0,0.0,,0.3,30.8,2.0,1.0,
2,2008-12-31 23:03:35,2008-12-31 23:20:12,N,1.0,166,75,1.0,1.68,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,
2,2008-12-31 23:03:11,2009-01-01 20:54:50,N,1.0,40,195,5.0,1.65,8.0,0.5,0.5,1.4,0.0,,0.3,10.7,1.0,1.0,
2,2008-12-31 23:14:55,2008-12-31 23:30:51,N,1.0,129,56,1.0,1.75,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,2.0,1.0,
2,2010-09-23 00:02:42,2010-09-23 18:27:25,N,1.0,7,7,1.0,0.52,5.5,1.0,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,
2,2008-12-31 23:02:52,2008-12-31 23:04:27,N,1.0,193,193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,1.0,
2,2008-12-31 11:08:16,2008-12-31 11:40:26,N,1.0,85,181,1.0,2.97,21.0,0.0,0.5,0.0,0.0,,0.3,21.8,1.0,1.0,
2,2010-09-23 23:02:01,2010-09-24 00:04:01,N,1.0,146,193,1.0,7.05,24.5,1.0,0.5,0.0,0.0,,0.3,26.3,2.0,1.0,
2,2010-09-23 00:02:45,2010-09-23 17:21:16,N,1.0,42,41,1.0,1.23,8.5,1.0,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,
2,2010-09-23 00:01:15,2010-09-23 14:23:52,N,1.0,195,85,1.0,5.39,20.0,0.0,0.5,0.0,0.0,,0.3,20.8,2.0,1.0,
2,2009-01-01 15:03:27,2009-01-01 15:22:37,N,1.0,240,213,1.0,4.42,17.5,0.0,0.5,0.0,0.0,,0.3,18.3,1.0,1.0,
2,2009-01-01 00:17:02,2009-01-01 00:25:28,N,1.0,7,179,1.0,1.35,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,
2,2010-09-23 00:02:47,2010-09-23 18:54:58,N,1.0,179,135,1.0,7.77,29.5,1.0,0.5,0.0,0.0,,0.3,31.3,2.0,1.0,
